lz: 97.151317636869293892 Vol: 1274227.3240184905007 PE: -397996.406874033  Pxx: 0.206696521833609 Pyy: -0.000152204565365825 Pzz: -6.74863729291815 
lz: 97.047634266925996371 Vol: 1273975.5792327912059 PE: -397938.578740704  Pxx: 0.193262120781373 Pyy: -2.04483860363762e-05 Pzz: -6.83168373348662 
lz: 96.94395089698269885 Vol: 1272898.2542643572669 PE: -397887.571739803  Pxx: 0.188621645894571 Pyy: 0.000279407686267646 Pzz: -6.90937486420212 
lz: 96.84026752703940133 Vol: 1272342.1391224719118 PE: -397835.145404764  Pxx: 0.186363792445593 Pyy: 0.000204285358855571 Pzz: -6.98131649272152 
lz: 96.736584157096103809 Vol: 1271583.4650598096196 PE: -397778.004430612  Pxx: 0.183852464633042 Pyy: -0.000542982091797502 Pzz: -7.05980921603932 
lz: 96.632900787152806288 Vol: 1270921.2222347971983 PE: -397724.351137908  Pxx: 0.189465335225963 Pyy: -0.000712556737227405 Pzz: -7.12480370625299 
lz: 96.529217417209494556 Vol: 1270257.6698672771454 PE: -397669.320495056  Pxx: 0.194006568776604 Pyy: 0.000834905770840741 Pzz: -7.19438485768635 
lz: 96.425534047266197035 Vol: 1269490.7151116793975 PE: -397608.275325098  Pxx: 0.199597470102308 Pyy: -0.000386532670277583 Pzz: -7.26197455576374 
lz: 96.321850677322899514 Vol: 1268745.6774798645638 PE: -397551.399950667  Pxx: 0.205250400290908 Pyy: 0.000443901010302639 Pzz: -7.32160965696516 
lz: 96.218167307379587783 Vol: 1268273.4480779017322 PE: -397492.353458449  Pxx: 0.214463928826621 Pyy: 0.00128275813382646 Pzz: -7.38348408755032 
lz: 96.114483937436290262 Vol: 1267545.4992502853274 PE: -397430.442514969  Pxx: 0.226552428615626 Pyy: 0.000420601556129289 Pzz: -7.43244447211656 
lz: 96.010800567492992741 Vol: 1266874.6407818736043 PE: -397374.360478188  Pxx: 0.232262619533341 Pyy: 0.000757635644966652 Pzz: -7.4882648441514 
lz: 95.90711719754969522 Vol: 1266356.1012952453457 PE: -397327.588464101  Pxx: 0.236485340179878 Pyy: -0.000342586809783544 Pzz: -7.48598407542579 
lz: 95.803433827606397699 Vol: 1265978.6745390768629 PE: -397422.418627297  Pxx: 0.246231385971976 Pyy: 0.0012500699138172 Pzz: -7.2466984205944 
lz: 95.699750457663100178 Vol: 1266360.857758887345 PE: -397803.951289145  Pxx: 0.289801973119591 Pyy: 0.000607917623292039 Pzz: -6.51748394189053 
lz: 95.596067087719802657 Vol: 1267211.6305323699489 PE: -398225.972370617  Pxx: 0.326064298304402 Pyy: -0.000537257386711959 Pzz: -5.6145196326605 
lz: 95.492383717776505136 Vol: 1267046.8637889495585 PE: -398425.866432897  Pxx: 0.377014443462891 Pyy: 0.000463898473428873 Pzz: -5.06561606979823 
lz: 95.388700347833207616 Vol: 1266967.0229854898062 PE: -398560.451366701  Pxx: 0.412004017687096 Pyy: 0.00013029154106032 Pzz: -4.58154136253964 
lz: 95.285016977889895884 Vol: 1266624.8258612437639 PE: -398690.511714962  Pxx: 0.438822314103332 Pyy: -0.000473509643844793 Pzz: -4.11633939678064 
lz: 95.181333607946598363 Vol: 1265494.1986469984986 PE: -398691.6359613  Pxx: 0.450143758306018 Pyy: 3.55826909984693e-05 Pzz: -4.12409859709863 
lz: 95.077650238003300842 Vol: 1264623.7699897040147 PE: -398668.279701914  Pxx: 0.439065566079952 Pyy: -0.000564653577759882 Pzz: -4.23506826705002 
lz: 94.97396686805998911 Vol: 1263564.9644932867959 PE: -398649.914979293  Pxx: 0.400028683236704 Pyy: -0.000666279699984682 Pzz: -4.3284323904991 
lz: 94.870283498116805276 Vol: 1262619.0376120936126 PE: -398621.570430807  Pxx: 0.352454758220613 Pyy: -0.000402238428042071 Pzz: -4.41377020258053 
lz: 94.766600128173507755 Vol: 1262396.8595529552549 PE: -398598.241075727  Pxx: 0.287935469096384 Pyy: -0.000424134156139699 Pzz: -4.44088009965913 
lz: 94.662916758230196024 Vol: 1262031.367943943711 PE: -398596.129597236  Pxx: 0.214987896969416 Pyy: 0.000281466526023491 Pzz: -4.42425180478637 
lz: 94.559233388286898503 Vol: 1261418.5644161601085 PE: -398587.468205557  Pxx: 0.147344676398613 Pyy: 0.000869548894166966 Pzz: -4.42274383152162 
lz: 94.455550018343600982 Vol: 1261163.8002661359496 PE: -398564.830038819  Pxx: 0.0832966847946492 Pyy: 0.000174389570940259 Pzz: -4.51378243005631 
lz: 94.35186664840028925 Vol: 1260718.8333344243001 PE: -398545.228696052  Pxx: 0.0297243439915001 Pyy: -0.000122298519498158 Pzz: -4.53544778901255 
lz: 94.248183278456991729 Vol: 1260381.1304154270329 PE: -398535.355711823  Pxx: -0.0132930828695773 Pyy: -0.000399713985096533 Pzz: -4.51888554136326 
lz: 94.144499908513694209 Vol: 1260568.0328260983806 PE: -398539.514837284  Pxx: -0.0425876591374535 Pyy: 0.000715463312070941 Pzz: -4.36770125337964 
lz: 94.040816538570396688 Vol: 1260165.8470336215105 PE: -398548.104061914  Pxx: -0.0347284659604218 Pyy: -0.000900876713755642 Pzz: -4.27437400521259 
lz: 93.937133168627099167 Vol: 1260061.6964052752592 PE: -398579.936506843  Pxx: -0.0317401729270309 Pyy: -0.000828802792111147 Pzz: -4.12790556932434 
lz: 93.833449798683801646 Vol: 1259938.5802085460164 PE: -398608.681624341  Pxx: -0.00466953571143501 Pyy: -0.000618579122357911 Pzz: -3.98587588545103 
lz: 93.729766428740504125 Vol: 1259233.1909533101134 PE: -398600.557930538  Pxx: 0.050085017811895 Pyy: 0.00057145413411535 Pzz: -3.87616336968097 
lz: 93.626083058797206604 Vol: 1258967.1699253441766 PE: -398610.579266754  Pxx: 0.113406909867382 Pyy: 0.000130024451914245 Pzz: -3.71959808074775 
lz: 93.522399688853894872 Vol: 1257741.7252397655975 PE: -398588.852887961  Pxx: 0.184454216925962 Pyy: -0.000688792067120704 Pzz: -3.76160227942036 
lz: 93.418716318910597352 Vol: 1257392.7079689982347 PE: -398605.290221701  Pxx: 0.259274841012784 Pyy: 0.000254053207117215 Pzz: -3.5556071772201 
lz: 93.315032948967299831 Vol: 1256768.0322085800581 PE: -398632.253324586  Pxx: 0.323139159977746 Pyy: -5.72779213943608e-06 Pzz: -3.3209304812577 
lz: 93.211349579023988099 Vol: 1256222.0892360315192 PE: -398663.394684294  Pxx: 0.360071185847618 Pyy: -0.000626206503528678 Pzz: -3.03776575307011 
lz: 93.107666209080690578 Vol: 1255982.2999147004448 PE: -398724.761750829  Pxx: 0.39843132312514 Pyy: 0.000390918541789074 Pzz: -2.64648107034898 
lz: 93.003982839137393057 Vol: 1255427.8379937335849 PE: -398743.498170145  Pxx: 0.404395823054146 Pyy: 0.000389407428455663 Pzz: -2.49630671667789 
lz: 92.900299469194095536 Vol: 1254769.0937827560119 PE: -398740.628184539  Pxx: 0.391463012657382 Pyy: 0.000956130206198255 Pzz: -2.4986585511516 
